game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
176,21,R21Ess,Saturday,12/8/17,H,Essendon,Ess,Adelaide,Ade,Etihad Stadium,7:25 pm,N,VIC
177,21,R21WCE,Saturday,12/8/17,H,WCE,WCE,Carlton,Car,Domain Stadium,7:40 pm,N,WA
178,21,R21Mel,Sunday,13/8/17,H,Melbourne,Mel,StKilda,StK,MCG,1:10 pm,D,VIC
179,21,R21Haw,Sunday,13/8/17,H,Hawthorn,Haw,North Melbourne,Nor,University of Tasmania Stadium,3:20 pm,D,TAS
180,21,R21Por,Sunday,13/8/17,H,Port Adelaide,Por,Collingwood,Col,Adelaide Oval,4:40 pm,D,SA
181,22,R22Ade,Friday,18/8/17,H,Adelaide,Ade,Sydney,Syd,Adelaide Oval,7:50 pm,N,SA
182,22,R22Wes,Saturday,19/8/17,H,Western Bulldogs,Wes,Port Adelaide,Por,Eureka Stadium,1:45 pm,D,VIC
183,22,R22Col,Saturday,19/8/17,H,Collingwood,Col,Geelong,Gee,MCG,2:10 pm,D,VIC
184,22,R22Gre,Saturday,19/8/17,H,Greater Western Sydney,Gre,WCE,WCE,Spotless Stadium,4:35 pm,T,NSW
185,22,R22Ess,Saturday,19/8/17,A,Essendon,Ess,Gold Coast,Gol,Metricon Stadium,7:25 pm,N,QLD
186,22,R22Car,Saturday,19/8/17,H,Carlton,Car,Hawthorn,Haw,Etihad Stadium,7:25 pm,N,VIC
187,22,R22Mel,Sunday,20/8/17,H,Melbourne,Mel,Brisbane,Bri,MCG,1:10 pm,D,VIC
188,22,R22StK,Sunday,20/8/17,H,StKilda,StK,North Melbourne,Nor,Etihad Stadium,3:20 pm,D,VIC
189,22,R22Fre,Sunday,20/8/17,H,Fremantle,Fre,Richmond,Ric,Domain Stadium,4:40 pm,T,WA
190,23,R23Nor,,25/8/17,A,North Melbourne,Nor,Brisbane,Bri,Gabba,,,QLD
191,23,R23Mel,,25/8/17,A,Melbourne,Mel,Collingwood,Col,MCG,,,VIC
192,23,R23Fre,,25/8/17,A,Fremantle,Fre,Essendon,Ess,Etihad Stadium,,,VIC
193,23,R23Gre,,25/8/17,A,Greater Western Sydney,Gre,Geelong,Gee,Simonds Stadium,,,VIC
194,23,R23Wes,,25/8/17,A,Western Bulldogs,Wes,Hawthorn,Haw,Etihad Stadium,,,VIC
195,23,R23Gol,,25/8/17,A,Gold Coast,Gol,Port Adelaide,Por,Adelaide Oval,,,SA
196,23,R23StK,,25/8/17,A,StKilda,StK,Richmond,Ric,MCG,,,VIC
197,23,R23Car,,25/8/17,A,Carlton,Car,Sydney,Syd,SCG,,,NSW
198,23,R23Ade,,25/8/17,A,Adelaide,Ade,WCE,WCE,Domain Stadium,,,WA
